"","Comment","User","ReplyCount","LikeCount","PublishTime","CommentId","ParentID","ReplyToAnotherUser","VideoID"
"20","tall grey commands that you learn r﻿","matt605","0","1","2013-11-30T02:12:51.535Z","z12kjl4hmtfuvpw3222ot1mxlob0xnw1q","None","FALSE","W2GZFeYGU3s"
"21","What tool u used for Editing Video background ??﻿","khizer shaikh","0","1","2013-11-26T07:36:22.093Z","z13ojjjowke2drn2u23pedridlf1d3z0n","None","FALSE","W2GZFeYGU3s"
"22","lmao.. fortran","vincent10kd","0","0","2013-09-08T18:19:55.613Z","xr70Rg5NGn32YzHzFBWdIa9GWHj9IbW92eO7giSPkrg","None","FALSE","W2GZFeYGU3s"
"23","Save Walter White! ","MrFundash","0","0","2013-09-02T09:49:14.184Z","xr70Rg5NGn2yxqJ70PjVubm5abFKp_RgqDsYbu248qo","None","FALSE","W2GZFeYGU3s"
"24","fortran is awesome for hardcore array-based numerical methods. still very 
much alive and in use.","nbren12","0","0","2013-06-13T06:08:56.226Z","xr70Rg5NGn1VHYhmnu4JAytTvXH9_RXGVgbjXQ5T5rs","None","FALSE","W2GZFeYGU3s"
"25","Try C++ ;). It is great ","Niko Vujić","0","0","2013-05-29T20:26:52.075Z","xr70Rg5NGn1Skz0BBmAeHe-mwWVrx504iQsltAytXXc","None","FALSE","W2GZFeYGU3s"
"26","I am a fledgling researcher of the field of operations research and found R 
to be very useful tool for statistical analysis. It really improved my 
productivity and I am just beginning to grasp it.","tkzubaran","0","0","2013-05-27T22:51:07.955Z","xr70Rg5NGn1b1exugwmy-ytYfg_X_ugV45vR3TScsAE","None","FALSE","W2GZFeYGU3s"
"27","Nice info thx a lot. ","Ri Ji","0","0","2013-02-23T21:26:31.475Z","xr70Rg5NGn2qgXcH6a4_NfnWKv3Ym7QdVBl1lH192wo","None","FALSE","W2GZFeYGU3s"
"28","i swear to god i thought he said 4chan at 0:29","Jonathan Tai","0","0","2013-01-19T13:28:41.852Z","xr70Rg5NGn3W0dBy19Wa_ZtWtHUZnQP-5bfOkIm6KIs","None","FALSE","W2GZFeYGU3s"
"29","coursera.com offers some free online courses about R. just go to that 
website and search ""data analysis"" and you''ll find them :)","bindao810","0","2","2013-01-14T04:52:01.009Z","xr70Rg5NGn38mbJSidaMlhL2jmyrcaLPOqDaKGHxfCY","None","FALSE","W2GZFeYGU3s"
"30","check the ""Computing for Data Analysis"" course on Coursera 
coursera(dot)org/#course/compdata","Mahmoud Elkhteeb","0","0","2013-01-04T14:26:39.367Z","xr70Rg5NGn2ZTrnhoFBLX5nKfaTYPaJzDzVFxQGnb-Q","None","FALSE","W2GZFeYGU3s"
"31","Wow two years for a comment. FP/Lazarus is very much alive and well, 
outside the USA. It pays my bills, let's me live and work for myself I do 
quite nicely with it. How exactly is that bad?","dagda825","0","0","2013-01-01T14:16:40.670Z","xr70Rg5NGn3AtDFnNs8KB3ZwqV-MAWkRDpfEWkCbjiE","None","FALSE","W2GZFeYGU3s"
"32","Love PYTHON too. ","Tetrodioxide","0","1","2013-01-01T07:04:11.099Z","xr70Rg5NGn2zrwUle4RqaoL56nwr2P9QDkyYYTGvxG0","None","FALSE","W2GZFeYGU3s"
"33","PYTHON forever.....;-))))) ","pythonxcoder","0","0","2012-12-20T22:51:01.885Z","xr70Rg5NGn3SQW7JCXEGMUgTWC4HXi7_GxNhD0-qDLc","None","FALSE","W2GZFeYGU3s"
"34","where's a good place to learn R online?","Sean McCormick","0","0","2012-11-10T02:27:56.362Z","xr70Rg5NGn1rJYdFwo4ELFZHAHwJ1kVB5-be-IcNDxM","None","FALSE","W2GZFeYGU3s"
"35","Go work for SR research, experiment builder still use Pascal... if you want 
to code directly you need the blow the dust off some old Pascal books and 
get cracking :) ","Gordon Brown","0","0","2012-09-26T22:24:08.718Z","xr70Rg5NGn15UFYU-pVdw82nkPxsJiPsHd5km4DRNwA","None","FALSE","W2GZFeYGU3s"
"36","Do you have a blog, or a twitter I can follow. I am new to R and you seem 
pretty good at it.","Julio Palma","0","0","2012-09-18T17:21:07.737Z","xr70Rg5NGn3oCzxqiKSzWpv7ebl6Tb-v8pQHrrcKxfQ","None","FALSE","W2GZFeYGU3s"
"37","Easy to use? What a joke. R syntax is, by far, the most complicated, 
twisted, inconsistant, ill-designed programming language syntax ever. ","haltux","0","1","2012-08-29T08:03:52.344Z","xr70Rg5NGn3GEmtm-Ry7kyzSCHe9s5HMdEj0iPjHUpU","None","FALSE","W2GZFeYGU3s"
"38","11 people are frustrated SPSS users.","Mike Mike","0","0","2012-08-14T09:05:25.379Z","xr70Rg5NGn39kF3yFoYBUOhpykVAqf6No2GiDt93PRw","None","FALSE","W2GZFeYGU3s"
"39","I'm not convinced. Can I write efficient code with it? Or is it one of 
those languages for ""non-programmers""? Can I easily do multi-threading? 
Efficient data structures and memory management? Design patterns? How about 
unit test support? How are the compile time errors? What sort of 
type/binding system? How is the debugger? How fast does it run? Free/Open 
is not enough. I wish you had expended on some of the key issues that are 
relevant when choosing a language/tool.","SoftwareEngineer3","0","0","2012-07-23T15:54:36.213Z","xr70Rg5NGn1J0pv6L9XJNo8gDPlum0SbY1lGlC46tH0","None","FALSE","W2GZFeYGU3s"
"40","Thank you !! I have not made any choice yet, so R R ","jooyee99","0","0","2012-07-15T19:40:18.192Z","xr70Rg5NGn1Ulx1XDQEUSJPP6E8qnAjG1JjODX_Ua3A","None","FALSE","W2GZFeYGU3s"
"41","Check CRAN for some solid packages that allow one to work with relational 
databases(e.g. MySQL,Postgres, SQLite) from within R. You can also use the 
sqldf package that allows one to use SQL to query R data frames. 
Connections to Excel exist as do conversion tools from SAS and SPSS. R is 
by no means a ""closed shop"". I use it every day. Its not perfect (no 
language is) but its a great framework for data analysis and visualization 
(check out ggplot and lattice). ","bowiemott","0","0","2012-05-12T03:15:37.466Z","xr70Rg5NGn0PFv4kHZ7dKq0lPbdorbaeZqT3CO1B1ew","None","FALSE","W2GZFeYGU3s"
"42","Good Stuff, I'm going to start today ! Thanks for the video","fizban64","0","0","2012-04-01T06:09:40.465Z","xr70Rg5NGn0FJoN2pgHfAmSUUTm3q9xePHgpvhbWBec","None","FALSE","W2GZFeYGU3s"
"43","silahkan beri komentar anda""by ronisyahrony""","Roni Syahrony","0","0","2012-03-21T03:43:54.767Z","xr70Rg5NGn2z9-Rkky0PhWViHKaeooCp637dRgMyDnk","None","FALSE","W2GZFeYGU3s"
"44","Daumen hoch, wenn ihr VWLer von der Uni Mannheim seid :D","BruellwuerfelTV","0","1","2012-03-14T22:10:45.336Z","xr70Rg5NGn0_nEA8dRWkfIi5rxnJq2i7E11QiFxBg2M","None","FALSE","W2GZFeYGU3s"
"45","@TheGrayIntellectual by RAM do you mean memory? databases use a combination 
of memory and hard drive. it should not be of any concern to you if your 
database is in the memory in the hard drive, that should be a detail only 
that concerns the person writing the database software. You should only be 
concerned about getting data and using that data for your needs, you 
shouldn't worry about whether it is on your hard disk or in your memory. A 
good place to start is DbDebunk.com","canufi","0","0","2012-02-03T01:59:16.291Z","xr70Rg5NGn3Z2ceufneghyB4rMEqR-sSqBFEutSSZvE","None","FALSE","W2GZFeYGU3s"
"46","@TheGrayIntellectual what about databases? wouldn't it be good to have a 
language that allowed you to run statistics over data stored in a database? 
What does the R language do to make using databases easier than other 
languages? ","canufi","0","0","2012-02-02T00:23:48.818Z","xr70Rg5NGn3il7w9p_7ezhZki0UZTZTn7RyTAq9_FYc","None","FALSE","W2GZFeYGU3s"
"47","@fndmiranda you can also embed ms excel spreadsheets into delphi programs 
using ActiveX/COM technology, allowing you to take control of excel using a 
programming language. Not only for delphi, but also visual basic (VB 
language sucks though).","canufi","0","0","2012-02-02T00:18:02.249Z","xr70Rg5NGn2R6bR6awO-wUVaAR6ZlUYFHKpGaojbsv4","None","FALSE","W2GZFeYGU3s"
"48","Turbo Pascal was immensely popular and successful before Delphi. So your 
claim that you can't use your pascal code any more isn't really valid.. why 
couldn't you just put it into the turbo pascal integrated development 
environment and compile it? Even if your code was standard pascal you could 
convert it to turbopascal pretty easily. After turbo pascal was successful, 
freepascal then came along, which still runs old turbopascal code in 
addition to delphi code. ","canufi","0","0","2012-02-02T00:16:31.066Z","xr70Rg5NGn0hD_QA8axo4IfEwoqZaAnlaXka4qAwxR0","None","FALSE","W2GZFeYGU3s"
"49","Can you link to some of the more impressive graphics output of R?","ZwolfZki","0","0","2012-01-27T02:59:13.720Z","xr70Rg5NGn2cdXXf-Gn3P4FAtWGc8uINh_TGa5ixWmU","None","FALSE","W2GZFeYGU3s"
"50","If anyone here can help me with my R language work (polygon 
characteristics), please reply!!","mattjones969","0","0","2012-01-04T16:43:29.795Z","xr70Rg5NGn0H3ML5I6rgfdsYheec7NFVyMjTLDJYv4w","None","FALSE","W2GZFeYGU3s"
"51","@GRIFF74 Good point. You can add to that; and what about Free Pascal (FP) 
an open source compiler, not to mention Lazarus the open source equivalent 
of Delphi.","clashpeanan","0","0","2012-01-03T19:23:48.511Z","xr70Rg5NGn0bYDXHDr1q12mD7rgrlb3g-MzXoUWRyxU","None","FALSE","W2GZFeYGU3s"
"52","Why would you want to pay for something that is free. Take a look at 
freepascal and project lazarus . Pascal dead ? Far Far Far from it. TIOBE 
INDEX has Pascal as the 15th position while R is at 27th ! Its seems more 
like R is almost dead. A lot of misinformation in your video and yes i read 
your more info box, but still EXTREMELY misleading.","Kilon Alios","0","0","2011-12-02T17:47:03.440Z","xr70Rg5NGn0M0fu6k0Qg29i8F5AG400h2aQzCXIAJfs","None","FALSE","W2GZFeYGU3s"
"53","@SoHoTandCool There's a pdf tutorial available that you can find in the R 
program itself. Also, if you have a question about a particular function, 
you can always type ?[whatever the name of the function is], and it will 
take you to a website explaining the function. For example, ?read.table","bobdylan23220","0","0","2011-06-18T20:31:44.136Z","xr70Rg5NGn1Z_tB0uNKNsbxnkjdzxb1gnSzQMosZHYM","None","SoHoTandCool","W2GZFeYGU3s"
"54","@FarsightPress thanks farsightpress... now let's say i am ready to learn R. 
i haven't done any programming before - can you spend few minutes 
suggesting where i should begin. i don't see my professor till after two 
weeks, and the only thing he mentioned was, 'start into looking at 
programming in R'. i would highly appreciate it. ","SoHoTandCool","0","0","2011-05-01T01:35:13.407Z","xr70Rg5NGn2H3tK5-CKy4ggLuoroHfSNxNHecyL5dWk","None","FarsightPress","W2GZFeYGU3s"
"55","@SoHoTandCool I always recommend following the advice of your own 
professors, since they are the ones guiding your education. On the other 
hand, you also need to follow your instincts. Thus, I advise doing what 
your professor says as well as trying out some of the other software that 
interests you. No need to be exclusive. Explore.","FarsightPress","0","0","2011-04-30T16:48:13.520Z","xr70Rg5NGn1Y63kmV5gMT_iTF5G8EG2-uFoD4iq7GU8","None","SoHoTandCool","W2GZFeYGU3s"
"56","awesome - i talked to one of my professors at my school last week. the 
professor does bioinformatics and he suggested i learn R. the problem is i 
am a hard core biologist, who is fascinated by the human genome and want to 
dig into it using some softwares. my good professor thinks R is the way to 
go, what do you think? thanks for the information - you are a good sales 
man, i am already looking into how to download R and put it on my mac. ","SoHoTandCool","0","0","2011-04-30T14:43:47.033Z","xr70Rg5NGn1WVxx_1yqch3INXoXowN3LhmIYbcMfkyU","None","FALSE","W2GZFeYGU3s"
"57","Pascal is a general-purpose programming language while it seems R is a 
special-purpose programming language for statistics. This makes it very 
narrow in scope. The speaker must be a statistician and was using Pascal to 
do statistics. ","Tapajara","0","0","2011-04-30T13:27:31.569Z","xr70Rg5NGn2l7upM5hZSFDLnPes4tGMG2JXtYtXh07A","None","FALSE","W2GZFeYGU3s"
"58","@PsycAndrew You can find some tutorials at off2themovies2 on YouTube ","Ed Boone","0","0","2011-04-20T18:32:52.278Z","xr70Rg5NGn2uZMtKoItHmW4_jOnWsR8bRpyI3swSoKQ","None","PsycAndrew","W2GZFeYGU3s"
"59","You can find some tutorials at off2themovies2. ","Ed Boone","0","0","2011-04-20T18:32:26.550Z","xr70Rg5NGn1u5GJhFkSHlkZkkyrIRx_QLiqUx0DX6SY","None","FALSE","W2GZFeYGU3s"
"60","Good.","Muhammad Azam","0","0","2011-03-13T21:22:21.893Z","xr70Rg5NGn1Lskm_DrMXaGXHHPun7KSi9FCVd52195I","None","FALSE","W2GZFeYGU3s"
"61","I am an actuarial science student and want to learn aspects of R which will 
help me in my course.Can you please tell me how to go about it?I would 
really appreciate it. Thanks a lot (in advance)","mazeofdevils","0","0","2011-02-13T03:01:09.947Z","xr70Rg5NGn0F1tSjDswi3m7i-n8FmL6dVYVdjO4XFEg","None","FALSE","W2GZFeYGU3s"
"62","R is kind of freaky to look at however... ","Chartre Khan","0","0","2011-02-06T08:43:05.279Z","xr70Rg5NGn0jjxm1DeAm-xVfIXgrEKAvfIJYq_MeIwY","None","FALSE","W2GZFeYGU3s"
"63","youtube.com/watch?v=KOLkgqeSFPQ","supermatti78","0","0","2011-01-09T03:10:17.987Z","xr70Rg5NGn0m0hWO9eOjiS1WaYbKiyxIHDMeJBS27Zc","None","FALSE","W2GZFeYGU3s"
"64","@GRIFF74 I used to use Borland's Turbo Pascal professionally so I know 
something about Pascal. But lets be real. Delphi is hardly a comparable 
environment to R or Python. Sure you can develop in Delphi but its hardly 
the tool to manage huge datasets, run numerical analysis, and visualize 
complex relationships. The user community for R is enthusiastic, 
aggressive, and there is an abundance of add-on packages for managing 
research data types. can the same be said of Delphi ? Clearly not. ","bowiemott","0","0","2010-11-16T22:46:09.063Z","xr70Rg5NGn1ADB__e0BxH4z0pFzr8QM-30RvkItMNPw","None","FALSE","W2GZFeYGU3s"
"65","@Tank8484 You have a misconception of Python. You can write GUI apps, 
console apps, text processing apps, web apps, games, and yes, scripts in 
Python. ","bytejuggler","0","2","2010-10-28T22:41:29.057Z","xr70Rg5NGn1llJgqugVBNuEhAi0XjX5kMVPPxnl_gRY","None","Tank8484","W2GZFeYGU3s"
"66","R and python are must learn languages for researchers. Invest in open 
source!!","shax108","0","0","2010-10-18T02:03:10.449Z","xr70Rg5NGn1M3Y7IZ8sg9teZKOdggQURpzJjZ4XeViU","None","FALSE","W2GZFeYGU3s"
"67","@GRIFF74 I mention this in the sidebar comments for the video. Delphi is an 
object oriented evolution of early Pascal. My intent is not to downplay any 
of the many new incarnations of any language, but to point out that R 
should be reasonably long-lasting in its structure.","RenegadeThinking","0","18","2010-10-09T19:28:12.684Z","xr70Rg5NGn2ueuSNEUvSuuNq3T4GxHbrpBOFysjBbaQ","None","FALSE","W2GZFeYGU3s"
"68","I am convinced this must have been the language that Fegelein used to rebel 
against Hitler and find Wallee. We must capture Fegelein and bring him to 
justice for his crimes! Fegelein! Fegelein! FEGELEIN!!!!","Yatukih001","0","0","2010-10-06T12:12:20.272Z","xr70Rg5NGn1LMVrPJwJyxNTm2W6f0FPGBP2-V3hmWyI","None","FALSE","W2GZFeYGU3s"
"69","I still use BASIC (blitzplus), for prototyping. It is pretty easy to use, 
no complex compiling + linking steps are required, you can check things in 
almost no time. I always write the production code in other languages, but 
BASIC still is, at least to me, the perfect language for testing equations, 
prototypes, etc...","Rui Barbosa","0","0","2010-09-19T16:36:53.537Z","xr70Rg5NGn3t-iBO_fBRyBei-LM5PoXMJhvXcvIcBFk","None","FALSE","W2GZFeYGU3s"
"70","Thank You Dr Brown for the presentation. A few tutorials will be a good 
continue.","bokxser","0","0","2010-08-22T04:55:20.005Z","xr70Rg5NGn3_8LCHGWUbOfLex-BajBVNI2SZ_HKpR-I","None","FALSE","W2GZFeYGU3s"
"71","Don't know why, but I've always had an affinity for software named with a 
single letter. C, R, X","Jesse Maurais","0","0","2010-08-13T02:22:54.361Z","xr70Rg5NGn1Iy8SroZ-v-pw_ZeFRO0WUireSYIZwtHA","None","FALSE","W2GZFeYGU3s"
"72","@DanieleNiero Python is a language for mostly making prototype apps. Python 
is a script language. ","Tank8484","0","0","2010-08-06T11:23:22.347Z","xr70Rg5NGn1ScOQmURPqz-pVScHGhqhEKP5nBVNzF0M","None","FALSE","W2GZFeYGU3s"
"73","@RenegadeThinking Delphi is alive and well, too. I've used Delphi 2010 and 
it's an excellent programming environment. Not knocking R, mind you. 
Basically if the language makes sense and you're productive in it then 
that's all that really matters. Free Pascal does what Java does (runs most 
anywhere) but with machine code, not a virtual machine :-) Cheers! ","dagda825","0","0","2010-07-11T19:25:47.502Z","xr70Rg5NGn3gI-R2vbxH5x0C6G6NMTrLa6yCk1A3cLg","None","RenegadeThinking","W2GZFeYGU3s"
"74","@dagda825 Good point. I mention this in the video comments.","RenegadeThinking","0","5","2010-07-05T21:23:48.257Z","xr70Rg5NGn0K9kAGMYj-5NeANLrZEY1K4Ok9lvyRCfc","None","dagda825","W2GZFeYGU3s"
"75","I guess he never heard of Free Pascal. Pascal is alive and well, and I use 
it as my primary language.","dagda825","0","1","2010-07-05T16:55:08.994Z","xr70Rg5NGn0rM6zaHL8HC4ZS7zeKeKG8_3a3S_twUsc","None","FALSE","W2GZFeYGU3s"
"76","why don't use Python which is widely used around (ILM, NASA, Google)?","Daniele Niero","0","0","2010-04-23T03:57:10.724Z","xr70Rg5NGn35ZNQra_YR1D5uzcggbN8hMulWvRj7OtQ","None","FALSE","W2GZFeYGU3s"
"77","My experience is that if you know ,or are familiar with, C and C++ you 
should be okay with R. R employs ""objects"" and ""methods"" (also present in 
C++) since object oriented programming is quite popular. I use the 
BioConductor add-on package for biological statistical investigations. In 
the end I use a variety of languages such as Python and Perl but since I've 
started using R I seldom use SAS or SPSS anymore.","bowiemott","0","0","2010-03-22T23:06:17.655Z","xr70Rg5NGn0V8N_dj3yv-b-aCoLJlgp75xdF6qKd8iI","None","FALSE","W2GZFeYGU3s"
"78","Great video, I have recently began learning R myself, am looking at some of 
of your tutorials now. Thanks for posting!","drexelmcquimby","0","0","2010-02-18T15:00:19.840Z","xr70Rg5NGn3XXzRc0hHDCjnO7eMwEJYuAHfjXHZWOR4","None","FALSE","W2GZFeYGU3s"
"79","Dear Dr Brown, I am a masters student and previosly i have been familiar 
with C and C++ coding language, It has been a long time since I have used 
any programming language. but recently i want to get back into it. Could 
you suggest how else i should get about learning this new language. Thank 
you","nabin rajbhandari","0","2","2010-02-02T18:25:34.214Z","xr70Rg5NGn3Rg8CIkhCXwUSUaOBZOYiG4xUfTBJXooc","None","FALSE","W2GZFeYGU3s"
"80","Great video!","caljackshen","0","1","2009-10-25T20:03:43.460Z","xr70Rg5NGn2hHRHTACOKUl7rYNNaqbKMDG7bMSJAFnc","None","FALSE","W2GZFeYGU3s"
"81","Great Video. Post some R tutorials! :)","PsycAndrew","0","14","2009-09-23T15:56:30.117Z","xr70Rg5NGn0DDl7FEoFp88kWazdt__A3LpnO350F_hc","None","FALSE","W2GZFeYGU3s"
"210","+Pifrond I was about to say that. I too am a Delphi programmer and never 
have considered myself to be an ""orphan"".","Adrian Stefanescu","0","0","2016-03-23T14:03:30.012Z","z133envbmlimj33fz23kjj14evyjinycj.1458741810012502","z133envbmlimj33fz23kjj14evyjinycj","Pifrond","W2GZFeYGU3s"
"310","+Laura Alejandra Manchola Rojas you chose the wrong language to start with","Wajeeh Ul Hassan","0","1","2016-02-26T05:53:46.457Z","z13wszlhjvzci35mt22ivt2ibnazj3hv3.1456466026457437","z13wszlhjvzci35mt22ivt2ibnazj3hv3","Laura Alejandra Manchola Rojas","W2GZFeYGU3s"
"410","+Laura Alejandra Manchola Rojas Thanks!","ChinatownNoodles","0","0","2015-12-24T02:22:18.960Z","z13wszlhjvzci35mt22ivt2ibnazj3hv3.1450923738960634","z13wszlhjvzci35mt22ivt2ibnazj3hv3","Laura Alejandra Manchola Rojas","W2GZFeYGU3s"
"510","+ChinatownNoodles Well. I did the R programming course first and, as a 
beginner I didn't like it that much. It is poorly interactive and too much 
theory, like, too much really. I know the theory is important but as a 
beginner there was nothing interesting in knowing all that stuff and barely 
work on the program. 

If you wanna learn R programming, I recommend you Swirl. You learn while 
you work in R. It's very cool and you learn a lot.","Laura Alejandra Manchola Rojas","0","2","2015-12-23T20:44:45.157Z","z13wszlhjvzci35mt22ivt2ibnazj3hv3.1450903485157916","z13wszlhjvzci35mt22ivt2ibnazj3hv3","ChinatownNoodles","W2GZFeYGU3s"
"610","+Laura Alejandra Manchola Rojas Did you do The Data Scientist's Tool Box 
first? Or is going straight for the R programming course fine for a 
beginner?","ChinatownNoodles","0","0","2015-12-21T18:24:43.511Z","z13wszlhjvzci35mt22ivt2ibnazj3hv3.1450722283511645","z13wszlhjvzci35mt22ivt2ibnazj3hv3","Laura Alejandra Manchola Rojas","W2GZFeYGU3s"
"710","No problem, +Yvette Wiley , glad I could help!","George Thomas","0","0","2015-07-27T18:52:12.849Z","z122wxgjuujkhnobm04cchubdqridxnk2.1438023132849746","z122wxgjuujkhnobm04cchubdqridxnk2","Yvette Wiley","W2GZFeYGU3s"
"82","Thank you! ","Yvette Wiley","0","0","2015-07-26T20:26:30.705Z","z122wxgjuujkhnobm04cchubdqridxnk2.1437942390705417","z122wxgjuujkhnobm04cchubdqridxnk2","Yvette Wiley","W2GZFeYGU3s"
"91","+Yvette Wiley The text is in the text section of all the R videos for the 
statistics course. The textbook used for this course is: Statistical 
Methods for the Social Sciences (4th Edition), by Alan Agresti and Barbara 
Finlay, although the course can be used with any relevant textbook.","FarsightPress","0","0","2015-07-26T03:17:01.575Z","z122wxgjuujkhnobm04cchubdqridxnk2.1437880621575469","z122wxgjuujkhnobm04cchubdqridxnk2","Yvette Wiley","W2GZFeYGU3s"
"101","LOL, I already found that one and have watched it. I plan to watch his 
videos and lectures. I wish I knew what text book he was using. He said it 
was a good one but didn't say the name.","Yvette Wiley","0","0","2015-07-26T00:20:53.580Z","z122wxgjuujkhnobm04cchubdqridxnk2.1437870053580560","z122wxgjuujkhnobm04cchubdqridxnk2","Yvette Wiley","W2GZFeYGU3s"
"111","+Yvette Wiley 
You can use this to help you:
https://www.youtube.com/watch?v=2-kw1MlOS1U&list=PL7mT7MDlWGhXS54yIGEjmck7Rmqp_WBBR","FarsightPress","0","0","2015-07-25T23:10:49.037Z","z122wxgjuujkhnobm04cchubdqridxnk2.1437865849037356","z122wxgjuujkhnobm04cchubdqridxnk2","Yvette Wiley","W2GZFeYGU3s"
